Tariff item number,,,Description of goods,Product specific rules
,94.04,,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.",
,,9404.1,- Mattress supports,LVC 40% or CC
,,,- Mattresses,
,,9404.21,"-- Of cellular rubber or plastics, whether or not covered",CC
,,9404.29,-- Of other materials,CC
,,9404.3,- Sleeping bags,LVC 40% or CC
,,9404.9,- Other,"CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16 for quilts and eiderdowns. CTH for any other good."
,94.05,,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhere specified or included.",
,,9405.1,"- Chandeliers and other electric ceiling or wall lighting fittings, excluding those of a kind used for lighting public open spaces or
 thoroughfares",LVC 40% or CTSH
,,9405.2,"- Electric table, desk, bedside or floor-standing lamps",LVC 40% or CTSH
,,,,
,,9405.3,- Lighting sets of a kind used for Christmas trees,LVC 40% or CTSH
,,9405.4,"- Other electric lamps and lighting
 fittings",LVC 40% or CTSH
,,9405.5,"- Non-electrical lamps and lighting
 fittings",LVC 40% or CTSH
,,9405.6,"- Illuminated signs, illuminated name-plates and the like",LVC 40% or CTSH
,94.06,9406,Prefabricated buildings.,LVC 40% or CC
Chapter 96,,,Miscellaneous manufactured articles,
,96.01,,"Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding).",CC
,96.02,9602,"Worked vegetable or mineral carving material and articles of these materials; molded or carved articles of wax, of stearin, of natural gums or natural resins or of modeling pastes, and other molded or carved articles, not elsewhere specified or included; worked, unhardened gelatin (except gelatin of heading 35.03) and articles of unhardened gelatin.",LVC 40% or CC
,96.03,,"Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorized, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees).",LVC 40% or CC
,96.04,9604,Hand sieves and hand riddles.,LVC 40% or CC
,96.05,9605,"Travel sets for personal toilet, sewing or shoe or clothes cleaning.",CC
,96.06,,"Buttons, press-fasteners,
 snap-fasteners and press-studs, button molds and other parts of these articles; button blanks.",LVC 40% or CC
,96.07,,Slide fasteners and parts thereof.,
,,,- Slide fasteners:,
,,9607.11,"-- Fitted with chain scoops of base
 metal",LVC 40% or CTSH
,,9607.19,-- Other,LVC 40% or CTSH
,,9607.2,- Parts,LVC 40% or CC
,96.08,,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating stylos; propelling or sliding pencils;",LVC 40% or CTSH
,,,"pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 96.09.",
,96.09,,"Pencils (other than pencils of heading
 96.08), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors’ chalks.",LVC 40% or CTSH
,96.13,,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks.",
,,9613.1,"- Pocket lighters, gas fuelled, non-refillable",LVC 40% or CTSH
,,9613.2,"- Pocket lighters, gas fuelled, refillable",LVC 40% or CTSH
,,9613.8,- Other lighters,LVC 40% or CTSH
